start_ip,end_ip,join_key,city,region,country,latitude,longitude,postal_code,timezone
1.0.82.180,1.0.82.183,1.0.0.0,Matsue,Shimane,JP,35.48333,133.05,690-0801,Asia/Tokyo
1.0.82.184,1.0.82.191,1.0.0.0,Hiroshima,Hiroshima,JP,34.4,132.45,730-0011,Asia/Tokyo
1.0.82.192,1.0.82.223,1.0.0.0,Matsue,Shimane,JP,35.48333,133.05,690-0801,Asia/Tokyo
1.0.82.224,1.0.83.31,1.0.0.0,Hiroshima,Hiroshima,JP,34.4,132.45,730-0011,Asia/Tokyo
1.0.83.32,1.0.83.63,1.0.0.0,Matsue,Shimane,JP,35.48333,133.05,690-0801,Asia/Tokyo
1.0.83.64,1.0.83.67,1.0.0.0,Izumo,Shimane,JP,35.36667,132.76667,693-0001,Asia/Tokyo
1.0.83.68,1.0.83.95,1.0.0.0,Matsue,Shimane,JP,35.48333,133.05,690-0801,Asia/Tokyo
1.0.83.96,1.0.83.111,1.0.0.0,Hiroshima,Hiroshima,JP,34.4,132.45,730-0011,Asia/Tokyo
1.0.83.112,1.0.83.119,1.0.0.0,Matsue,Shimane,JP,35.48333,133.05,690-0801,Asia/Tokyo
1.0.83.120,1.0.83.127,1.0.0.0,Hiroshima,Hiroshima,JP,34.4,132.45,730-0011,Asia/Tokyo
1.0.83.128,1.0.83.151,1.0.0.0,Matsue,Shimane,JP,35.48333,133.05,690-0801,Asia/Tokyo
1.0.83.152,1.0.83.159,1.0.0.0,Izumo,Shimane,JP,35.36667,132.76667,693-0001,Asia/Tokyo
1.0.83.160,1.0.83.171,1.0.0.0,Hiroshima,Hiroshima,JP,34.4,132.45,730-0011,Asia/Tokyo
1.0.83.172,1.0.83.173,1.0.0.0,Matsue,Shimane,JP,35.48333,133.05,690-0801,Asia/Tokyo
1.0.83.174,1.0.83.175,1.0.0.0,Hiroshima,Hiroshima,JP,34.4,132.45,730-0011,Asia/Tokyo
1.0.83.176,1.0.83.205,1.0.0.0,Matsue,Shimane,JP,35.48333,133.05,690-0801,Asia/Tokyo
1.0.83.206,1.0.83.207,1.0.0.0,Kurayoshi,Tottori,JP,35.43333,133.81667,682-0401,Asia/Tokyo
1.0.83.208,1.0.83.231,1.0.0.0,Yamaguchi,Yamaguchi,JP,34.18333,131.46667,800-0336,Asia/Tokyo
1.0.83.232,1.0.83.239,1.0.0.0,Izumo,Shimane,JP,35.36667,132.76667,693-0001,Asia/Tokyo
1.0.83.240,1.0.83.247,1.0.0.0,Yamaguchi,Yamaguchi,JP,34.18333,131.46667,800-0336,Asia/Tokyo
1.0.83.248,1.0.83.251,1.0.0.0,Matsue,Shimane,JP,35.48333,133.05,690-0801,Asia/Tokyo
1.0.83.252,1.0.83.255,1.0.0.0,Yamaguchi,Yamaguchi,JP,34.18333,131.46667,800-0336,Asia/Tokyo
1.0.84.0,1.0.84.65,1.0.0.0,Matsue,Shimane,JP,35.48333,133.05,690-0801,Asia/Tokyo
1.0.84.66,1.0.84.67,1.0.0.0,Yonago,Tottori,JP,35.43333,133.33333,683-0041,Asia/Tokyo
1.0.84.68,1.0.84.69,1.0.0.0,Matsue,Shimane,JP,35.48333,133.05,690-0801,Asia/Tokyo
1.0.84.70,1.0.84.71,1.0.0.0,Iwakuni,Yamaguchi,JP,34.16297,132.22,741-0062,Asia/Tokyo
1.0.84.72,1.0.84.119,1.0.0.0,Matsue,Shimane,JP,35.48333,133.05,690-0801,Asia/Tokyo
1.0.84.120,1.0.84.127,1.0.0.0,Yonago,Tottori,JP,35.43333,133.33333,683-0041,Asia/Tokyo
1.0.84.128,1.0.84.151,1.0.0.0,Matsue,Shimane,JP,35.48333,133.05,690-0801,Asia/Tokyo
1.0.84.152,1.0.84.159,1.0.0.0,Iwakuni,Yamaguchi,JP,34.16297,132.22,741-0062,Asia/Tokyo
1.0.84.160,1.0.84.171,1.0.0.0,Tottori-shi,Tottori,JP,35.5,134.23333,680-0013,Asia/Tokyo
1.0.84.172,1.0.84.172,1.0.0.0,Matsue,Shimane,JP,35.48333,133.05,690-0801,Asia/Tokyo
1.0.84.173,1.0.84.191,1.0.0.0,Tottori-shi,Tottori,JP,35.5,134.23333,680-0013,Asia/Tokyo
1.0.84.192,1.0.84.215,1.0.0.0,Matsue,Shimane,JP,35.48333,133.05,690-0801,Asia/Tokyo
1.0.84.216,1.0.84.217,1.0.0.0,Tottori-shi,Tottori,JP,35.5,134.23333,680-0013,Asia/Tokyo
1.0.84.218,1.0.85.15,1.0.0.0,Matsue,Shimane,JP,35.48333,133.05,690-0801,Asia/Tokyo
